<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.01	01:00:00	4671.30	4686.54	4662.76	4674.31	5415	0	30
2026.04.01	01:30:00	4674.32	4696.25	4661.52	4680.88	8406	0	30
2026.04.01	02:00:00	4681.26	4684.24	4671.77	4682.20	6508	0	44
2026.04.01	02:30:00	4682.21	4699.82	4681.61	4696.14	7312	0	30
2026.04.01	03:00:00	4696.08	4721.77	4693.24	4721.67	11457	0	30
2026.04.01	03:30:00	4721.65	4722.36	4699.90	4710.69	9021	0	30
2026.04.01	04:00:00	4710.69	4724.07	4689.42	4708.12	14140	0	30
2026.04.01	04:30:00	4708.10	4708.12	4681.25	4692.55	12030	0	30
2026.04.01	05:00:00	4692.54	4700.35	4683.35	4687.12	8866	0	30
2026.04.01	05:30:00	4686.94	4690.15	4677.99	4684.26	8606	0	30
2026.04.01	06:00:00	4684.31	4694.01	4682.52	4687.12	7077	0	30
2026.04.01	06:30:00	4687.14	4688.56	4679.37	4681.80	4879	0	30
2026.04.01	07:00:00	4681.81	4681.90	4666.93	4672.28	5467	0	30
2026.04.01	07:30:00	4672.47	4681.60	4668.83	4676.21	4810	0	30
2026.04.01	08:00:00	4676.22	4689.97	4674.70	4686.03	6174	0	30
2026.04.01	08:30:00	4686.18	4703.39	4683.69	4684.11	9037	0	30
2026.04.01	09:00:00	4684.26	4711.27	4682.49	4709.07	10174	0	30
2026.04.01	09:30:00	4709.05	4732.99	4702.06	4730.50	12825	0	30
2026.04.01	10:00:00	4730.79	4732.62	4712.86	4722.75	10289	0	30
2026.04.01	10:30:00	4722.77	4747.63	4709.45	4712.76	11532	0	30
2026.04.01	11:00:00	4712.79	4735.58	4710.22	4730.44	9961	0	30
2026.04.01	11:30:00	4730.46	4740.20	4726.15	4728.46	8191	0	30
2026.04.01	12:00:00	4728.48	4729.98	4713.80	4719.27	7571	0	30
2026.04.01	12:30:00	4719.20	4727.54	4712.98	4722.99	8172	0	30
2026.04.01	13:00:00	4723.00	4729.08	4715.09	4728.22	7082	0	30
2026.04.01	13:30:00	4728.16	4738.63	4725.95	4731.19	6752	0	30
2026.04.01	14:00:00	4731.36	4746.19	4728.12	4744.95	7107	0	30
2026.04.01	14:30:00	4744.96	4762.85	4744.69	4752.24	9519	0	30
2026.04.01	15:00:00	4752.32	4753.57	4724.34	4734.60	9758	0	30
2026.04.01	15:30:00	4734.96	4753.62	4724.28	4724.51	13479	0	30
2026.04.01	16:00:00	4724.60	4742.09	4716.12	4736.06	12160	0	30
2026.04.01	16:30:00	4735.95	4749.51	4730.67	4738.30	15078	0	30
2026.04.01	17:00:00	4738.01	4754.77	4723.94	4741.81	14534	0	30
2026.04.01	17:30:00	4741.75	4768.64	4734.78	4760.63	13949	0	30
2026.04.01	18:00:00	4760.66	4776.27	4758.27	4772.76	13180	0	30
2026.04.01	18:30:00	4772.88	4788.00	4769.70	4786.43	11435	0	30
2026.04.01	19:00:00	4786.46	4790.55	4774.18	4776.36	10230	0	30
2026.04.01	19:30:00	4776.37	4788.40	4775.11	4787.09	7223	0	30
2026.04.01	20:00:00	4786.90	4792.83	4782.26	4784.95	7960	0	30
2026.04.01	20:30:00	4784.98	4786.03	4773.58	4774.22	7827	0	30
2026.04.01	21:00:00	4774.17	4775.10	4753.20	4753.79	12429	0	30
2026.04.01	21:30:00	4753.97	4766.07	4741.88	4752.98	12210	0	30
2026.04.01	22:00:00	4753.04	4769.09	4751.02	4765.55	9542	0	30
2026.04.01	22:30:00	4765.54	4778.08	4758.10	4765.89	10963	0	30
2026.04.01	23:00:00	4765.91	4771.07	4760.86	4762.03	4374	0	30
2026.04.01	23:30:00	4762.02	4763.62	4754.24	4758.03	4087	0	30
2026.04.02	01:00:00	4758.02	4774.91	4752.68	4772.65	1915	0	30
2026.04.02	01:30:00	4772.55	4782.68	4770.86	4776.32	5077	0	30
