gap_id,previous_timestamp_utc,next_timestamp_utc,missing_start_utc,missing_end_utc,delta_minutes,missing_m1_bars,weekday_before,weekday_after,utc_time_before,utc_time_after,year,month,partition,current_category,proposed_category,classification_reason,classification_evidence,confidence,requires_manual_review
gapf_541_20210104_1001,2021-01-04 10:01:00,2021-01-04 10:04:00,2021-01-04 10:02:00,2021-01-04 10:03:00,3.0,2,Monday,Monday,10:01,10:04,2021,1,TRAIN,LIKELY_PROVIDER_HISTORY_GAP,LIKELY_PROVIDER_HISTORY_GAP,"Isolated small active-session gap, no recurring pattern.","2021-01-04 10:01:00 -> 2021-01-04 10:04:00: isolated 2-bar active-session gap; does not match weekend, session-break, or holiday patterns; below the empirically observed natural break in the missing-bar distribution (no residual gap observed between 9 and 214 missing bars).",LOW,True
gapf_1376_20210104_2358,2021-01-04 23:58:00,2021-01-05 01:00:00,2021-01-04 23:59:00,2021-01-05 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-04 23:58:00 -> 2021-01-05 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_2755_20210105_2358,2021-01-05 23:58:00,2021-01-06 01:00:00,2021-01-05 23:59:00,2021-01-06 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-05 23:58:00 -> 2021-01-06 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_4134_20210106_2358,2021-01-06 23:58:00,2021-01-07 01:00:00,2021-01-06 23:59:00,2021-01-07 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-06 23:58:00 -> 2021-01-07 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_5513_20210107_2358,2021-01-07 23:58:00,2021-01-08 01:00:00,2021-01-07 23:59:00,2021-01-08 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-07 23:58:00 -> 2021-01-08 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_6891_20210108_2357,2021-01-08 23:57:00,2021-01-11 01:00:00,2021-01-08 23:58:00,2021-01-11 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,1,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_8270_20210111_2358,2021-01-11 23:58:00,2021-01-12 01:00:00,2021-01-11 23:59:00,2021-01-12 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-11 23:58:00 -> 2021-01-12 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_9649_20210112_2358,2021-01-12 23:58:00,2021-01-13 01:00:00,2021-01-12 23:59:00,2021-01-13 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-12 23:58:00 -> 2021-01-13 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_11028_20210113_2358,2021-01-13 23:58:00,2021-01-14 01:00:00,2021-01-13 23:59:00,2021-01-14 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-13 23:58:00 -> 2021-01-14 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_12407_20210114_2358,2021-01-14 23:58:00,2021-01-15 01:00:00,2021-01-14 23:59:00,2021-01-15 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-14 23:58:00 -> 2021-01-15 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_13785_20210115_2357,2021-01-15 23:57:00,2021-01-18 01:00:00,2021-01-15 23:58:00,2021-01-18 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,1,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
