# run_classification=TRAIN_DISCOVERY_INCOMPLETE|PARTIAL_REAL_SMOKE
# dataset_id=V2_M1_LIVE_DATASET_V1
# dataset_fingerprint=8f5a20fd6b77dbebcfcf756b16e670cfb39712ff3e2b18a59f49073bd189e042
# experiment_fingerprint=4bae11977a441bb0a160eb8bf8258a325909968e3f303210e28847936946acca
timestamp_utc,thesis_id,candidate_id,passport_id,direction,parent_timeframe,candidate_timeframe,entry,stop_loss,take_profit,state,entry_touch_timestamp,outcome_timestamp,outcome,mae_r,mfe_r
2021-01-04 01:30:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 01:30:00,pass_d4bbd3b8b2c9678d,LONG,M30,M5,1802.20,1792.20,1822.20,TARGET_REACHED,2021-01-04 01:30:00,2021-01-04 04:29:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:30:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:30:00,pass_266dd5738b2083af,LONG,M30,M3,1802.20,1792.20,1822.20,TARGET_REACHED,2021-01-04 01:30:00,2021-01-04 04:29:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:33:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:33:00,pass_57146c7f96276df6,LONG,M30,M3,1802.50,1792.50,1822.50,TARGET_REACHED,2021-01-04 01:33:00,2021-01-04 04:32:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:35:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 01:35:00,pass_f4ae26eb682ebb50,LONG,M30,M5,1802.70,1792.70,1822.70,TARGET_REACHED,2021-01-04 01:35:00,2021-01-04 04:34:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:36:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:36:00,pass_2096d78d6c9d2e00,LONG,M30,M3,1802.80,1792.80,1822.80,TARGET_REACHED,2021-01-04 01:36:00,2021-01-04 04:35:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:39:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:39:00,pass_1b6ed19af302cfed,LONG,M30,M3,1803.10,1793.10,1823.10,TARGET_REACHED,2021-01-04 01:39:00,2021-01-04 04:38:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:40:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 01:40:00,pass_97ec8f946cfad9c3,LONG,M30,M5,1803.20,1793.20,1823.20,TARGET_REACHED,2021-01-04 01:40:00,2021-01-04 04:39:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:42:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:42:00,pass_2c3a9c7cfa2f360c,LONG,M30,M3,1803.40,1793.40,1823.40,TARGET_REACHED,2021-01-04 01:42:00,2021-01-04 04:41:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:45:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 01:45:00,pass_511f76c76d507e88,LONG,M30,M5,1803.70,1793.70,1823.70,TARGET_REACHED,2021-01-04 01:45:00,2021-01-04 04:44:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:45:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:45:00,pass_ae7b875fea3aaf84,LONG,M30,M3,1803.70,1793.70,1823.70,TARGET_REACHED,2021-01-04 01:45:00,2021-01-04 04:44:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:48:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:48:00,pass_117568126ebc76c5,LONG,M30,M3,1804.00,1794.00,1824.00,TARGET_REACHED,2021-01-04 01:48:00,2021-01-04 04:47:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:50:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 01:50:00,pass_1b26f7dc51f18021,LONG,M30,M5,1804.20,1794.20,1824.20,TARGET_REACHED,2021-01-04 01:50:00,2021-01-04 04:49:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:51:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:51:00,pass_3c61f270b2f3fdd7,LONG,M30,M3,1804.30,1794.30,1824.30,TARGET_REACHED,2021-01-04 01:51:00,2021-01-04 04:50:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:54:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:54:00,pass_0cf63c03f09eeb02,LONG,M30,M3,1804.60,1794.60,1824.60,TARGET_REACHED,2021-01-04 01:54:00,2021-01-04 04:53:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:55:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 01:55:00,pass_fc450b03a0b19b03,LONG,M30,M5,1804.70,1794.70,1824.70,TARGET_REACHED,2021-01-04 01:55:00,2021-01-04 04:54:00,TARGET_REACHED,0.05,2.01
2021-01-04 01:57:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 01:57:00,pass_634832d29d67cd4e,LONG,M30,M3,1804.90,1794.90,1824.90,TARGET_REACHED,2021-01-04 01:57:00,2021-01-04 04:56:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:00:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 02:00:00,pass_6b65dc4a3deb5987,LONG,M30,M5,1805.20,1795.20,1825.20,TARGET_REACHED,2021-01-04 02:00:00,2021-01-04 04:59:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:00:00,th_ab2b87b6a68aba30,cand_M5_th_ab2b87b6a68aba30_2021-01-04 02:00:00,pass_f32e2dfb5c7eef48,LONG,M30,M5,1805.20,1795.20,1825.20,TARGET_REACHED,2021-01-04 02:00:00,2021-01-04 04:59:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:00:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 02:00:00,pass_bb1afc53c1ffd7c3,LONG,M30,M3,1805.20,1795.20,1825.20,TARGET_REACHED,2021-01-04 02:00:00,2021-01-04 04:59:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:00:00,th_ab2b87b6a68aba30,cand_M3_th_ab2b87b6a68aba30_2021-01-04 02:00:00,pass_82f64cd33d1b7116,LONG,M30,M3,1805.20,1795.20,1825.20,TARGET_REACHED,2021-01-04 02:00:00,2021-01-04 04:59:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:03:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 02:03:00,pass_fe1b7dcdee3198c2,LONG,M30,M3,1805.50,1795.50,1825.50,TARGET_REACHED,2021-01-04 02:03:00,2021-01-04 05:02:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:03:00,th_ab2b87b6a68aba30,cand_M3_th_ab2b87b6a68aba30_2021-01-04 02:03:00,pass_77175b0ec2bfc3db,LONG,M30,M3,1805.50,1795.50,1825.50,TARGET_REACHED,2021-01-04 02:03:00,2021-01-04 05:02:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:05:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 02:05:00,pass_0341764d908473b8,LONG,M30,M5,1805.70,1795.70,1825.70,TARGET_REACHED,2021-01-04 02:05:00,2021-01-04 05:04:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:05:00,th_ab2b87b6a68aba30,cand_M5_th_ab2b87b6a68aba30_2021-01-04 02:05:00,pass_9764a1831de8cf3c,LONG,M30,M5,1805.70,1795.70,1825.70,TARGET_REACHED,2021-01-04 02:05:00,2021-01-04 05:04:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:06:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 02:06:00,pass_01d9c0241c54978a,LONG,M30,M3,1805.80,1795.80,1825.80,TARGET_REACHED,2021-01-04 02:06:00,2021-01-04 05:05:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:06:00,th_ab2b87b6a68aba30,cand_M3_th_ab2b87b6a68aba30_2021-01-04 02:06:00,pass_830c92ab2bfd41dc,LONG,M30,M3,1805.80,1795.80,1825.80,TARGET_REACHED,2021-01-04 02:06:00,2021-01-04 05:05:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:09:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 02:09:00,pass_e67d3da68bf4babe,LONG,M30,M3,1806.10,1796.10,1826.10,TARGET_REACHED,2021-01-04 02:09:00,2021-01-04 05:08:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:09:00,th_ab2b87b6a68aba30,cand_M3_th_ab2b87b6a68aba30_2021-01-04 02:09:00,pass_d3df8d89637db742,LONG,M30,M3,1806.10,1796.10,1826.10,TARGET_REACHED,2021-01-04 02:09:00,2021-01-04 05:08:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:10:00,th_c6a3fea6cfabf2b7,cand_M5_th_c6a3fea6cfabf2b7_2021-01-04 02:10:00,pass_1d348638ccb6182b,LONG,M30,M5,1806.20,1796.20,1826.20,TARGET_REACHED,2021-01-04 02:10:00,2021-01-04 05:09:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:10:00,th_ab2b87b6a68aba30,cand_M5_th_ab2b87b6a68aba30_2021-01-04 02:10:00,pass_59c261197a53bac3,LONG,M30,M5,1806.20,1796.20,1826.20,TARGET_REACHED,2021-01-04 02:10:00,2021-01-04 05:09:00,TARGET_REACHED,0.05,2.01
2021-01-04 02:12:00,th_c6a3fea6cfabf2b7,cand_M3_th_c6a3fea6cfabf2b7_2021-01-04 02:12:00,pass_1b20b17ae5fd3429,LONG,M30,M3,1806.40,1796.40,1826.40,TARGET_REACHED,2021-01-04 02:12:00,2021-01-04 05:11:00,TARGET_REACHED,0.05,2.01
